title,views,assigned_category
Polska,25762735,Polska
Biblia,21746464,Religioznawstwo
Elżbieta II,14396728,Biografie
Robert Lewandowski,11739975,Biografie
Warszawa,11414370,Geografia
Stany Zjednoczone,11035629,Geografia
Jan Paweł II,10741016,Biografie
Facebook,10689932,Społeczeństwo
YouTube,9213775,Społeczeństwo
Ukraina,9086499,Geografia
Strona główna,9065229,Społeczeństwo
Cristiano Ronaldo,8134689,Biografie
II wojna światowa,8099865,Historia
Rosja,8062468,Geografia
Donald Trump,7907970,Biografie
I wojna światowa,7873819,Historia
Niemcy,7792664,Geografia
NATO,7720602,Społeczeństwo
Józef Piłsudski,7422167,Biografie
Adolf Hitler,7018774,Biografie
Władimir Putin,7003537,Biografie
Wielka Brytania,6985814,Geografia
Liga Mistrzów UEFA,6776907,Kultura i sztuka
Fryderyk Chopin,6717580,Biografie
Izrael,6566899,Geografia
Unia Europejska,6508573,Geografia
Freddie Mercury,6485414,Biografie
Gwiezdne wojny,6420445,Kultura i sztuka
Kraków,6360671,Geografia
Maria Skłodowska-Curie,6294843,Biografie
Powstanie warszawskie,6293849,Historia
Hymn Polski,6287380,Kultura i sztuka
Jarosław Kaczyński,6213762,Biografie
Lionel Messi,6006990,Biografie
Adam Mickiewicz,5915735,Biografie
Wrocław,5848859,Geografia
Andrzej Duda,5818202,Biografie
Malta,5713557,Geografia
Stopnie wojskowe w Polsce,5677007,Społeczeństwo
Zespół Aspergera,5630785,Nauki społeczne i humanistyczne
Szwajcaria,5591065,Geografia
Autostrady i drogi ekspresowe w Polsce,5456723,Technika
Franciszek (papież),5331937,Biografie
Donald Tusk,5316849,Biografie
Reprezentacja Polski w piłce nożnej mężczyzn,5309221,Społeczeństwo
Mateusz Morawiecki,5273404,Biografie
RMS Titanic,5271020,Historia
Mikołaj Kopernik,5216792,Biografie
Kleopatra,5216375,Biografie
Hiszpania,5200814,Geografia
Kanada,5175565,Geografia
Kazimierz III Wielki,5175163,Biografie
Miasta w Polsce,5170680,Geografia
Elon Musk,5121114,Biografie
Rzeź wołyńska,5112664,Historia
Francja,5062019,Geografia
Pablo Escobar,5046789,Biografie
Kamil Stoch,5020143,Biografie
Prezydenci Stanów Zjednoczonych,4975621,Społeczeństwo
James Bond,4964672,Kultura i sztuka
Związek Socjalistycznych Republik Radzieckich,4961213,Historia
Iga Świątek,4960199,Biografie
Turcja,4952188,Geografia
Włochy,4939235,Geografia
Maryla Rodowicz,4935682,Biografie
Japonia,4912474,Geografia
Mistrzostwa Świata w Piłce Nożnej 2022,4893302,Historia
Małgorzata Windsor (księżniczka),4879638,Biografie
Holandia,4863680,Geografia
Australia,4820340,Geografia
Mistrzostwa Europy w Piłce Nożnej 2020,4814876,Historia
Województwo,4729592,Geografia
Chińska Republika Ludowa,4728820,Geografia
Alfabet polski,4724930,Nauki społeczne i humanistyczne
Islandia,4717454,Geografia
Gdańsk,4672244,Geografia
Państwa Europy,4667853,Geografia
Diana (księżna Walii),4649801,Biografie
Rafał Trzaskowski,4587838,Biografie
Józef Stalin,4586350,Biografie
Mistrzostwa Świata w Piłce Nożnej 2018,4577391,Historia
Order Odrodzenia Polski,4498106,Historia
Filip (książę Edynburga),4489573,Biografie
Karol Nawrocki,4441163,Biografie
Lech Wałęsa,4421177,Biografie
Henryk Sienkiewicz,4416279,Biografie
Cypr,4406746,Geografia
Państwa członkowskie Unii Europejskiej,4353007,Geografia
Poczet papieży,4347967,Historia
Poznań,4341822,Geografia
Kalendarium dzień po dniu,4325166,Historia
Chorwacja,4319779,Geografia
Łódź,4287379,Geografia
Europa,4283460,Geografia
Michael Jackson,4269551,Kultura i sztuka
Układ Słoneczny,4255208,Nauki ścisłe i przyrodnicze
Edward Gierek,4225690,Biografie
Lista państw świata według liczby ludności,4185223,Społeczeństwo
Audi A4,4181129,Technika
Czechy,4177263,Geografia
